Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D36,WS2812B-2020,WS2812B-2020,167,-57,180,top
D37,WS2812B-2020,WS2812B-2020,167,-66,0,top
D38,WS2812B-2020,WS2812B-2020,167,-75,180,top
D39,WS2812B-2020,WS2812B-2020,167,-84,0,top
D40,WS2812B-2020,WS2812B-2020,167,-93,180,top
D41,WS2812B-2020,WS2812B-2020,176,-57,180,top
D42,WS2812B-2020,WS2812B-2020,158,-66,0,top
D43,WS2812B-2020,WS2812B-2020,176,-75,180,top
D44,WS2812B-2020,WS2812B-2020,158,-84,0,top
D45,WS2812B-2020,WS2812B-2020,176,-93,180,top
D46,WS2812B-2020,WS2812B-2020,185,-57,180,top
D47,WS2812B-2020,WS2812B-2020,149,-66,0,top
D48,WS2812B-2020,WS2812B-2020,185,-75,180,top
D49,WS2812B-2020,WS2812B-2020,149,-84,0,top
D50,WS2812B-2020,WS2812B-2020,185,-93,180,top
D51,WS2812B-2020,WS2812B-2020,191,-57,180,top
D52,WS2812B-2020,WS2812B-2020,227,-66,0,top
D53,WS2812B-2020,WS2812B-2020,191,-75,180,top
D54,WS2812B-2020,WS2812B-2020,227,-84,0,top
D55,WS2812B-2020,WS2812B-2020,191,-93,180,top
D56,WS2812B-2020,WS2812B-2020,200,-57,180,top
D57,WS2812B-2020,WS2812B-2020,218,-66,0,top
D58,WS2812B-2020,WS2812B-2020,200,-75,180,top
D59,WS2812B-2020,WS2812B-2020,218,-84,0,top
D60,WS2812B-2020,WS2812B-2020,200,-93,180,top
D61,WS2812B-2020,WS2812B-2020,209,-57,180,top
D62,WS2812B-2020,WS2812B-2020,209,-66,0,top
D63,WS2812B-2020,WS2812B-2020,209,-75,180,top
D64,WS2812B-2020,WS2812B-2020,209,-84,0,top
D65,WS2812B-2020,WS2812B-2020,209,-93,180,top
D66,WS2812B-2020,WS2812B-2020,218,-57,180,top
D67,WS2812B-2020,WS2812B-2020,200,-66,0,top
D68,WS2812B-2020,WS2812B-2020,218,-75,180,top
D69,WS2812B-2020,WS2812B-2020,200,-84,0,top
D70,WS2812B-2020,WS2812B-2020,218,-93,180,top
D71,WS2812B-2020,WS2812B-2020,227,-57,180,top
D72,WS2812B-2020,WS2812B-2020,191,-66,0,top
D73,WS2812B-2020,WS2812B-2020,227,-75,180,top
D74,WS2812B-2020,WS2812B-2020,191,-84,0,top
D75,WS2812B-2020,WS2812B-2020,227,-93,180,top
